iter	Passed	Remaining
470	679	763
471	680	761
472	681	759
473	682	757
474	683	755
475	686	755
476	687	753
477	688	751
478	693	754
479	694	752
480	695	750
481	696	748
482	697	746
483	698	745
484	699	743
485	700	741
486	701	739
487	702	737
488	703	734
489	704	733
490	707	733
491	708	731
492	709	729
493	710	727
494	711	725
495	712	723
496	712	721
497	713	719
498	714	717
499	715	715
500	716	713
501	717	711
502	719	710
503	721	710
504	722	708
505	723	706
506	724	704
507	725	702
508	726	700
509	727	698
510	728	696
511	729	694
512	730	693
513	731	691
514	732	690
515	734	689
516	736	687
517	737	685
518	737	683
519	738	681
520	739	679
521	740	678
522	741	676
523	742	674
524	743	672
525	744	670
526	745	668
527	746	667
528	748	666
529	750	665
530	751	664
531	752	662
532	753	660
533	754	658
534	756	657
535	757	655
536	758	653
537	759	651
538	760	650
539	762	649
540	765	649
541	767	648
542	768	646
543	769	644
544	770	643
545	771	641
546	772	640
547	773	638
548	776	637
549	779	637
550	780	636
551	782	634
552	783	633
553	784	631
554	785	629
555	786	627
556	787	626
557	788	624
558	789	622
559	793	623
560	795	622
561	796	620
562	797	618
563	798	617
564	799	615
565	800	613
566	801	612
567	802	610
568	803	608
569	806	608
570	807	606
571	809	605
572	810	604
573	812	602
574	813	601
575	814	599
576	816	598
577	817	596
578	818	595
579	820	593
580	821	592
581	822	591
582	824	589
583	825	588
584	826	586
585	827	584
586	829	583
587	830	581
588	831	579
589	831	578
590	832	576
591	834	574
592	838	575
593	840	574
594	841	573
595	843	571
596	844	569
597	845	568
598	846	566
599	847	564
600	848	563
601	853	564
602	854	562
603	855	561
604	857	559
605	858	557
606	859	556
607	860	554
608	861	552
609	862	551
610	863	549
611	866	549
612	868	548
613	869	546
614	871	545
615	872	543
616	873	542
617	874	540
618	875	539
619	877	537
620	878	535
621	880	534
622	883	534
623	885	533
624	886	531
625	887	530
626	888	528
627	889	527
628	891	525
629	892	523
630	893	522
631	894	520
632	897	520
633	898	518
634	899	517
635	900	515
636	902	514
637	902	512
638	903	510
639	905	509
640	906	507
641	906	505
642	912	506
643	914	505
644	915	503
645	916	502
646	917	500
647	919	499
648	920	497
649	922	496
650	928	497
651	929	496
652	930	494
653	931	492
654	932	491
655	933	489
656	934	487
657	935	486
658	936	484
659	937	482
660	943	483
661	946	483
662	947	481
663	948	479
664	949	478
665	950	476
666	952	475
667	954	474
668	957	473
669	958	472
670	960	470
671	961	469
672	962	467
673	964	466
674	965	464
675	966	463
676	967	461
677	968	460
678	970	458
679	971	457
680	972	455
681	973	454
682	974	452
683	975	450
684	976	448
685	977	447
686	978	445
687	979	444
688	980	442
689	981	440
690	983	439
691	984	438
692	985	436
693	986	435
694	987	433
695	988	431
696	989	430
697	990	428
698	991	426
699	992	425
700	993	423
701	993	421
702	994	420
703	996	418
704	998	417
705	999	416
706	1000	414
707	1001	413
708	1002	411
709	1003	409
710	1004	408
711	1005	406
712	1006	405
713	1007	403
714	1008	402
715	1010	400
716	1012	399
717	1013	398
718	1014	396
719	1015	395
720	1016	393
721	1018	392
722	1020	390
723	1021	389
724	1022	387
725	1023	386
726	1025	384
727	1031	385
728	1032	383
729	1033	382
730	1034	380
731	1035	379
732	1036	377
733	1037	375
734	1038	374
735	1043	374
736	1045	372
737	1053	374
738	1055	372
739	1061	373
740	1062	371
741	1064	370
742	1065	368
743	1066	367
744	1068	365
745	1068	363
746	1070	362
747	1071	360
748	1090	365
749	1091	363
750	1092	362
751	1094	360
752	1095	359
753	1096	357
754	1097	356
755	1098	354
756	1100	353
757	1102	352
758	1104	350
759	1105	349
760	1107	347
761	1109	346
762	1110	345
763	1111	343
764	1113	342
765	1114	340
766	1115	338
767	1117	337
768	1120	336
769	1121	335
770	1123	333
771	1124	332
772	1125	330
773	1127	329
774	1128	327
775	1129	326
776	1130	324
777	1132	323
778	1134	321
779	1135	320
780	1136	318
781	1137	317
782	1138	315
783	1139	313
784	1140	312
785	1141	310
786	1142	309
787	1143	307
788	1144	306
789	1147	305
790	1148	303
791	1150	302
792	1150	300
793	1151	298
794	1152	297
795	1153	295
796	1154	294
797	1155	292
798	1156	290
799	1157	289
800	1158	287
801	1159	286
802	1160	284
803	1161	283
804	1162	281
805	1163	280
806	1164	278
807	1165	276
808	1166	275
809	1167	273
810	1168	272
811	1169	270
812	1170	269
813	1171	267
814	1171	266
815	1172	264
816	1174	263
817	1175	261
818	1177	260
819	1177	258
820	1178	257
821	1179	255
822	1180	253
823	1181	252
824	1182	250
825	1183	249
826	1184	247
827	1185	246
828	1186	244
829	1187	243
830	1189	241
831	1191	240
832	1192	239
833	1193	237
834	1194	236
835	1195	234
836	1196	233
837	1197	231
838	1198	230
839	1199	228
840	1200	226
841	1201	225
842	1202	223
843	1203	222
844	1204	220
845	1205	219
846	1207	218
847	1208	216
848	1209	215
849	1210	213
850	1211	212
851	1212	210
852	1213	209
853	1214	207
854	1215	206
855	1216	204
856	1217	203
857	1218	201
858	1219	200
859	1220	198
860	1221	197
861	1222	195
862	1223	194
863	1224	192
864	1224	191
865	1225	189
866	1226	188
867	1227	186
868	1228	185
869	1229	183
870	1230	182
871	1231	180
872	1232	179
873	1235	178
874	1236	176
875	1237	175
876	1238	173
877	1239	172
878	1239	170
879	1240	169
880	1241	167
881	1242	166
882	1243	164
883	1244	163
884	1245	161
885	1246	160
886	1248	159
887	1250	157
888	1251	156
889	1252	154
890	1253	153
891	1253	151
892	1254	150
893	1255	148
894	1256	147
895	1257	145
896	1258	144
897	1259	143
898	1260	141
899	1262	140
900	1263	138
901	1264	137
902	1265	135
903	1266	134
904	1267	133
905	1268	131
906	1269	130
907	1270	128
908	1271	127
909	1272	125
910	1273	124
911	1274	122
912	1275	121
913	1277	120
914	1278	118
915	1280	117
916	1281	115
917	1282	114
918	1282	113
919	1283	111
920	1284	110
921	1285	108
922	1286	107
923	1287	105
924	1288	104
925	1289	103
926	1290	101
927	1291	100
928	1293	98
929	1294	97
930	1295	95
931	1296	94
932	1297	93
933	1298	91
934	1298	90
935	1299	88
936	1300	87
937	1301	86
938	1302	84
939	1303	83
940	1304	81
941	1306	80
942	1307	79
943	1308	77
944	1310	76
945	1311	74
946	1312	73
947	1313	72
948	1313	70
949	1314	69
950	1315	67
951	1316	66
952	1317	64
953	1318	63
954	1319	62
955	1320	60
956	1321	59
957	1322	57
958	1324	56
959	1325	55
960	1326	53
961	1327	52
962	1328	51
963	1329	49
964	1330	48
965	1330	46
966	1331	45
967	1332	44
968	1333	42
969	1334	41
970	1335	39
971	1337	38
972	1338	37
973	1339	35
974	1340	34
975	1341	32
976	1342	31
977	1342	30
978	1343	28
979	1344	27
980	1345	26
981	1346	24
982	1347	23
983	1348	21
984	1349	20
985	1351	19
